id,title,initial,writer,composer,arranger
3108,たからもの,た,工藤直子,氏家晋也,
3109,たしかな一歩,た,桜田直子,桜田直子,
3110,たのしくタンギング,た,,千田鉄男,
3111,旅立ちの時〜Ａｓｉａｎ Ｄｒｅａｍ Ｓｏｎｇ〜,た,ドリアン助川,久石譲,富澤裕
3112,旅立ちの日に,た,小嶋登,坂本浩美,松井孝夫
3113,旅立つ君へ,た,弓削田健介,弓削田健介,
3114,大好きって気持ち,た,大森祥子,西澤健治,
3115,大地讃頌,た,大木惇夫,佐藤眞,
3116,大地に生きる,た,市川文保／笹谷幸代（補作詞）,笹谷幸代,
3117,Dabiduba Dubiduba,た,松本比呂,松本比呂,
3118,だれのものでもない今を,た,森山至貴,森山至貴,
3201,小さな時間,ち,山本瓔子,八木澤教司,
3202,小さな勇気,ち,栂野知子,栂野知子,
3203,Change!,ち,栂野知子,栂野知子,
3204,アロハ！地球,ち,中村彩子,中村彩子,
3205,地球星歌〜笑顔のために〜,ち,ミマス,ミマス,富澤裕
3206,地球に乾杯！,ち,山村もも,大田桜子,
3207,地球の歌,ち,門倉詇,吉岡弘行,
3208,地球のかぞく,ち,石原一輝,大田桜子,
3209,地球の鼓動,ち,弥勒,瑞木薫,
3210,地球のなかまたち,ち,工藤直子,氏家晋也,
3211,地球は青い宇宙船,ち,みなづきみのり,桜田直子,
3212,地球はまわる,ち,ruriko,ruriko,
3213,地球は廻る,ち,渡辺なつみ,西澤健治,
3214,小さな冒険者たち,ち,大森祥子,西澤健治,
3215,茶色の小びん,ち,,J.ウィンナー,松田昌
3216,チューリップ,ち,,井上武士,松田昌
3217,地球は青い宇宙船,ち,みなづきみのり,桜田直子,
3301,次の空へ,つ,弓削田健介,弓削田健介,
3302,つないで歌おう,つ,ミマス,ミマス,富澤裕
3303,つながる空,つ,山崎朋子,山崎朋子,
3304,つばさにかえて,つ,弓削田健介,弓削田健介,
3305,翼を広げて,つ,山崎朋子,山崎朋子,
3306,つぼみが開くように,つ,栂野知子,栂野知子,
3307,つむぐ思い,つ,栂野知子,栂野知子,
3308,つよくなれ,つ,細川眞理子,細川眞理子,
3401,Take off!-夢に向かって-,て,人見敬子,西澤健治,
3402,手紙〜拝啓 十五の君へ〜,て,アンジェラ・アキ,アンジェラ・アキ,鷹羽弘晃
3403,出会い,て,山本恵三子,若松歓,
3404,出会いたくて,て,松任谷正夫,松井孝夫,
3405,Departure 旅立つ君へ,て,桜田直子,桜田直子,
3501,透明な光あふれる日〜スコットランドの子守唄の調べにのせて,と,月波ユノ,中村彩子,
3502,遠い空の下で,と,宮本益光,加藤昌則,
3503,遠い日の歌（パッヘルベルのカノンによる）,と,若沢千早,橋本祥路,
3504,遠く,と,覚和歌子,信長貴富,
3505,時代,と,富永良吉,渡邉泰祐,
3506,時のおくりもの,と,栂野知子,栂野知子,
3507,時の彼方へ,と,フルリーナ,富澤裕,
3508,時を越えて,と,栂野知子,栂野知子,
3509,となりのねこちゃん,と,細川眞理子,細川眞理子,
3510,友〜旅立ちの時〜,と,北川悠仁,北川悠仁,相澤直人
3511,友だち〜心の名まえ,と,里乃塚玲央,西澤健治,
3512,ともだち鏡,と,大森祥子,西澤健治,
3513,ともだちになろうよ,と,古宮真美子,古宮真美子,
3514,友よ  その日まで,と,東龍男,横山潤子,
3515,Dream & Dream〜夢をつなごう〜,と,弓削田健介,弓削田健介,
3516,どんなときも,と,弓削田健介,弓削田健介,
4101,なーんだ地球はちいさいね,な,細川眞理子,細川眞理子,
